region,disaggregation,disagg.value,section,continued_breastfeeding_1yr_2014-2020,Dairy_2018,early_initiation_2014-2020,exclusive_breastfeeding_2014-2020,Fish_2018,Fruit_2018,Legumes_2018,minimum_accept_diet_2014-2020,minimum_diet_diversity_2014-2020,minimum_meal_2014-2020,Nuts_2018,Red meat_2018,solid_foods_2014-2020,Vegetables_2018,Whole grains_2018
Melanesia,location,Sub-regional,Diet,,0.19,,,0.2,0.08,0.1,,,,0.02,14.89,,0.32,0.81
Melanesia,location,Target,Diet,,1,,,1,1,1,,,,1,1,,1,1
Melanesia,location,Within target,Diet,,1,,,1,1,1,,,,1,1,,1,1
Melanesia,sex,Both,Diet,78.28,,56.84,61.07,,,,17.88,32.18,43.93,,,79.01,,
Micronesia,location,Sub-regional,Diet,,0.26,,,2.07,0.59,0.31,,,,0.12,2.06,,0.42,0.24
Micronesia,location,Target,Diet,,1,,,1,1,1,,,,1,1,,1,1
Micronesia,location,Within target,Diet,,1,,,1,1,1,,,,1,1,,1,1
Micronesia,sex,Both,Diet,61.22,,45.6,63.59,,,,8.27,9.3,74.1,,,89.91,,
Middle Africa,location,Sub-regional,Diet,,0.22,,,1.47,0.46,0.29,,,,0.76,1.25,,0.64,0.29
Middle Africa,location,Target,Diet,,1,,,1,1,1,,,,1,1,,1,1
Middle Africa,location,Within target,Diet,,1,,,1,1,1,,,,1,1,,1,1
Middle Africa,sex,Both,Diet,64.94,,43.82,43.96,,,,9.38,19.31,34.43,,,79.34,,
North America,location,Sub-regional,Diet,,2.06,,,0.42,0.46,0.19,,,,0.48,2.63,,0.43,0.19
North America,location,Target,Diet,,1,,,1,1,1,,,,1,1,,1,1
North America,location,Within target,Diet,,1,,,1,1,1,,,,1,1,,1,1
North America,sex,Both,Diet,11.55,,,25.8,,,,,,,,,,,
Northern Africa,location,Sub-regional,Diet,,0.9,,,0.96,0.42,0.19,,,,0.3,2.07,,0.52,0.2
Northern Africa,location,Target,Diet,,1,,,1,1,1,,,,1,1,,1,1
Northern Africa,location,Within target,Diet,,1,,,1,1,1,,,,1,1,,1,1
Northern Africa,sex,Both,Diet,52.59,,39.69,39.77,,,,20.78,33.82,50.64,,,74.84,,
Northern America,location,Sub-regional,Diet,,2.06,,,0.42,0.46,0.19,,,,0.48,2.63,,0.43,0.19
Northern America,location,Target,Diet,,1,,,1,1,1,,,,1,1,,1,1
Northern America,location,Within target,Diet,,1,,,1,1,1,,,,1,1,,1,1
Northern America,sex,Both,Diet,11.55,,,25.8,,,,,,,,,,,
Northern Europe,location,Sub-regional,Diet,,2.8,,,1.12,0.47,0.31,,,,0.23,3.98,,0.42,0.34
