iso3,country,disaggregation,disagg.value,region,subregion,section,adult_fem_diabetes_track,adult_fem_obesity_track,adult_mal_diabetes_track,adult_mal_obesity_track,anaemia_track,ebf_track,lbw_track,rbp_female_track,rbp_male_track,sodium_track,under_5_overweight_track,under_5_stunting_track,under_5_wasting_track
MDV,Maldives,all,,Asia,Southern Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,On course,Some progress,Off course,Off course,Off course,On course,Some progress,No progress or worsening
MEX,Mexico,all,,Latin America and the Caribbean,Central America,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,Some progress,No progress or worsening,Off course,Off course,Off course,On course,Some progress,On course
MHL,Marshall Islands,all,,Oceania,Micronesia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No data,Off course,Off course,Off course,On course,Some progress,No data
MKD,North Macedonia,all,,Europe,Southern Europe,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No progress or worsening,No progress or worsening,Off course,Off course,Off course,On course,On course,On course
MLI,Mali,all,,Africa,Western Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,On course,No data,Off course,Off course,Off course,Off course,Some progress,No progress or worsening
MLT,Malta,all,,Europe,Southern Europe,The burden of malnutrition at a glance,On course,Off course,Off course,Off course,No progress or worsening,No data,On course,On course,On course,Off course,No data,No data,No data
MMR,Myanmar,all,,Asia,South-eastern Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,On course,Some progress,Off course,Off course,Off course,On course,Some progress,Some progress
MNE,Montenegro,all,,Europe,Southern Europe,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No progress or worsening,No progress or worsening,Off course,Off course,Off course,On course,No progress or worsening,On course
MNG,Mongolia,all,,Asia,Eastern Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No progress or worsening,Some progress,Off course,Off course,Off course,On course,On course,On course
MOZ,Mozambique,all,,Africa,Eastern Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,Some progress,Some progress,Off course,Off course,Off course,On course,Some progress,On course
MRT,Mauritania,all,,Africa,Western Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,On course,No data,Off course,Off course,Off course,Off course,Some progress,No progress or worsening
MUS,Mauritius,all,,Africa,Eastern Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,Off course,Off course,Off course,On course,No progress or worsening,No data
MWI,Malawi,all,,Africa,Eastern Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No progress or worsening,Some progress,Off course,Off course,Off course,On course,Some progress,On course
MYS,Malaysia,all,,Asia,South-eastern Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,Off course,Off course,Off course,On course,No progress or worsening,No progress or worsening
NAM,Namibia,all,,Africa,Southern Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,Off course,Off course,Off course,Off course,Some progress,No data
NER,Niger,all,,Africa,Western Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,Some progress,No data,Off course,Off course,Off course,Off course,No progress or worsening,Some progress
NGA,Nigeria,all,,Africa,Western Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,Some progress,No data,Off course,Off course,Off course,On course,Some progress,Some progress
NIC,Nicaragua,all,,Latin America and the Caribbean,Central America,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,Off course,Off course,Off course,On course,Some progress,No data
NLD,Netherlands,all,,Europe,Western Europe,The burden of malnutrition at a glance,On course,Off course,On course,Off course,No progress or worsening,No data,No progress or worsening,On course,On course,Off course,Off course,On course,No data
NOR,Norway,all,,Europe,Northern Europe,The burden of malnutrition at a glance,On course,Off course,On course,Off course,No progress or worsening,No data,On course,On course,On course,Off course,No data,No data,No data
NPL,Nepal,all,,Asia,Southern Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No progress or worsening,Some progress,Off course,Off course,Off course,Off course,On course,No progress or worsening
NRU,Nauru,all,,Oceania,Micronesia,The burden of malnutrition at a glance,Off course,Off course,On course,Off course,No progress or worsening,No data,No data,Off course,Off course,No data,Off course,On course,No data
NZL,New Zealand,all,,Oceania,Australia and New Zealand,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,Some progress,On course,On course,Off course,No data,No data,No data
OMN,Oman,all,,Asia,Western Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No progress or worsening,No progress or worsening,On course,Off course,Off course,Off course,No progress or worsening,No progress or worsening
PAK,Pakistan,all,,Asia,Southern Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,On course,No data,Off course,Off course,Off course,On course,Some progress,Some progress
PAN,Panama,all,,Latin America and the Caribbean,Central America,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,No data,No progress or worsening,Off course,Off course,Off course,On course,Some progress,No data
PER,Peru,all,,Latin America and the Caribbean,South America,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No progress or worsening,No progress or worsening,On course,Off course,Off course,On course,On course,On course
PHL,Philippines,all,,Asia,South-eastern Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,On course,No progress or worsening,Off course,Off course,Off course,Off course,Some progress,No progress or worsening
PLW,Palau,all,,Oceania,Micronesia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No data,Off course,Off course,No data,No data,No data,No data
PNG,Papua New Guinea,all,,Oceania,Melanesia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No data,Off course,Off course,Off course,On course,No progress or worsening,No data
POL,Poland,all,,Europe,Eastern Europe,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No data,No data,No progress or worsening,Off course,Off course,Off course,Off course,On course,No data
PRK,Democratic People's Republic of Korea,all,,Asia,Eastern Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,On course,No data,Off course,Off course,No data,Off course,On course,On course
PRT,Portugal,all,,Europe,Southern Europe,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,On course,Off course,Off course,On course,On course,No data
PRY,Paraguay,all,,Latin America and the Caribbean,South America,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,Some progress,No progress or worsening,Off course,Off course,Off course,Off course,On course,On course
PSE,State of Palestine,all,,Asia,Western Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,Some progress,No progress or worsening,Off course,Off course,Off course,On course,Some progress,On course
QAT,Qatar,all,,Asia,Western Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,Some progress,On course,Off course,Off course,On course,On course,No data
ROU,Romania,all,,Europe,Eastern Europe,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,Off course,Off course,Off course,On course,Some progress,No data
RUS,Russian Federation,all,,Europe,Eastern Europe,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,Some progress,On course,Off course,Off course,No data,No data,No data
RWA,Rwanda,all,,Africa,Eastern Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,On course,Some progress,Off course,Off course,Off course,On course,Some progress,On course
SAU,Saudi Arabia,all,,Asia,Western Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No data,On course,Off course,Off course,Off course,On course,No data
SDN,Sudan,all,,Africa,Northern Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,On course,No data,Off course,Off course,Off course,On course,Some progress,No progress or worsening
SEN,Senegal,all,,Africa,Western Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,Some progress,Some progress,Off course,Off course,Off course,Off course,Some progress,No progress or worsening
SGP,Singapore,all,,Asia,South-eastern Asia,The burden of malnutrition at a glance,On course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,On course,On course,Off course,Off course,On course,No data
SLB,Solomon Islands,all,,Oceania,Melanesia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,On course,No data,Off course,Off course,Off course,Off course,Some progress,No data
