iso3,country,region,subregion,disaggregation,disagg.value,section,continued_breastfeeding_1yr_2000,continued_breastfeeding_1yr_2001,continued_breastfeeding_1yr_2002,continued_breastfeeding_1yr_2003,continued_breastfeeding_1yr_2004,continued_breastfeeding_1yr_2005,continued_breastfeeding_1yr_2006,continued_breastfeeding_1yr_2007,continued_breastfeeding_1yr_2008,continued_breastfeeding_1yr_2009,continued_breastfeeding_1yr_2010,continued_breastfeeding_1yr_2011,continued_breastfeeding_1yr_2012,continued_breastfeeding_1yr_2013,continued_breastfeeding_1yr_2014,continued_breastfeeding_1yr_2015,continued_breastfeeding_1yr_2016,continued_breastfeeding_1yr_2017,continued_breastfeeding_1yr_2018,continued_breastfeeding_1yr_2019,continued_breastfeeding_1yr_2020,Dairy_2018,early_initiation_2000,early_initiation_2001,early_initiation_2002,early_initiation_2003,early_initiation_2004,early_initiation_2005,early_initiation_2006,early_initiation_2007,early_initiation_2008,early_initiation_2009,early_initiation_2010,early_initiation_2011,early_initiation_2012,early_initiation_2013,early_initiation_2014,early_initiation_2015,early_initiation_2016,early_initiation_2017,early_initiation_2018,early_initiation_2019,early_initiation_2020,exclusive_breastfeeding_2000,exclusive_breastfeeding_2001,exclusive_breastfeeding_2002,exclusive_breastfeeding_2003,exclusive_breastfeeding_2004,exclusive_breastfeeding_2005,exclusive_breastfeeding_2006,exclusive_breastfeeding_2007,exclusive_breastfeeding_2008,exclusive_breastfeeding_2009,exclusive_breastfeeding_2010,exclusive_breastfeeding_2011,exclusive_breastfeeding_2012,exclusive_breastfeeding_2013,exclusive_breastfeeding_2014,exclusive_breastfeeding_2015,exclusive_breastfeeding_2016,exclusive_breastfeeding_2017,exclusive_breastfeeding_2018,exclusive_breastfeeding_2019,exclusive_breastfeeding_2020,Fish_2018,Fruit_2018,Legumes_2018,minimum_accept_diet_2009,minimum_accept_diet_2010,minimum_accept_diet_2011,minimum_accept_diet_2012,minimum_accept_diet_2013,minimum_accept_diet_2014,minimum_accept_diet_2015,minimum_accept_diet_2016,minimum_accept_diet_2017,minimum_accept_diet_2018,minimum_accept_diet_2019,minimum_accept_diet_2020,minimum_diet_diversity_2005,minimum_diet_diversity_2006,minimum_diet_diversity_2007,minimum_diet_diversity_2008,minimum_diet_diversity_2009,minimum_diet_diversity_2010,minimum_diet_diversity_2011,minimum_diet_diversity_2012,minimum_diet_diversity_2013,minimum_diet_diversity_2014,minimum_diet_diversity_2015,minimum_diet_diversity_2016,minimum_diet_diversity_2017,minimum_diet_diversity_2018,minimum_diet_diversity_2019,minimum_diet_diversity_2020,minimum_meal_2006,minimum_meal_2009,minimum_meal_2010,minimum_meal_2011,minimum_meal_2012,minimum_meal_2013,minimum_meal_2014,minimum_meal_2015,minimum_meal_2016,minimum_meal_2017,minimum_meal_2018,minimum_meal_2019,minimum_meal_2020,Nuts_2018,Red meat_2018,solid_foods_2000,solid_foods_2001,solid_foods_2002,solid_foods_2003,solid_foods_2004,solid_foods_2005,solid_foods_2006,solid_foods_2007,solid_foods_2008,solid_foods_2009,solid_foods_2010,solid_foods_2011,solid_foods_2012,solid_foods_2013,solid_foods_2014,solid_foods_2015,solid_foods_2016,solid_foods_2017,solid_foods_2018,solid_foods_2019,solid_foods_2020,Vegetables_2018,Whole grains_2018
AFG,Afghanistan,Asia,Southern Asia,wealth,Lowest,Diet,,,,,,,,,,,,,,,,80.09,,,,,,,,,,,,,,,,,,,,,,45.02,,,,,,,,,,,,,,,,,,,,,41.12,,,,,,,,,,,,,,,12.25,,,,,,,,,,,,,,,,18.11,,,,,,,,,,,,,51.34,,,,,,,,,,,,,,,,,,,,,,,60.41,,,,,,,
AFG,Afghanistan,Asia,Southern Asia,wealth,Middle,Diet,,,,,,,,,,,,,,,,75.02,,,,,,,,,,,,,,,,,,,,,,41.05,,,,,,,,,,,,,,,,,,,,,45.64,,,,,,,,,,,,,,,10.82,,,,,,,,,,,,,,,,15.11,,,,,,,,,,,,,46.94,,,,,,,,,,,,,,,,,,,,,,,57.51,,,,,,,
AFG,Afghanistan,Asia,Southern Asia,wealth,Second highest,Diet,,,,,,,,,,,,,,,,72.71,,,,,,,,,,,,,,,,,,,,,,42.47,,,,,,,,,,,,,,,,,,,,,48.11,,,,,,,,,,,,,,,13.04,,,,,,,,,,,,,,,,17.85,,,,,,,,,,,,,49.44,,,,,,,,,,,,,,,,,,,,,,,71.4,,,,,,,
AFG,Afghanistan,Asia,Southern Asia,wealth,Second lowest,Diet,,,,,,,,,,,,,,,,71.89,,,,,,,,,,,,,,,,,,,,,,40.69,,,,,,,,,,,,,,,,,,,,,40.26,,,,,,,,,,,,,,,17.75,,,,,,,,,,,,,,,,25.22,,,,,,,,,,,,,52.34,,,,,,,,,,,,,,,,,,,,,,,68.44,,,,,,,
AGO,Angola,Africa,Middle Africa,age,0-1 month,Diet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,Africa,Middle Africa,age,12-15 months,Diet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.48,,,,,,,,,,,,,,,,31.23,,,,,,,,,,,,,24.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,Africa,Middle Africa,age,12-23 months,Diet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.28,,,,,,,,,,,,,,,,33.24,,,,,,,,,,,,,27.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,Africa,Middle Africa,age,16-19 months,Diet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.96,,,,,,,,,,,,,,,,34.41,,,,,,,,,,,,,28.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,Africa,Middle Africa,age,2-3 months,Diet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,Africa,Middle Africa,age,20-23 months,Diet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.33,,,,,,,,,,,,,,,,34.24,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,Africa,Middle Africa,age,4-5 months,Diet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,Africa,Middle Africa,age,6-11 months,Diet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.03,,,,,,,,,,,,,,,,21.44,,,,,,,,,,,,,38.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,Africa,Middle Africa,education,None or primary,Diet,,,,,,,,,,,,,,,,71.92,,,,,,,,,,,,,,,,,,,,,,47.78,,,,,,,,,,,,,,,,,,,,,34.96,,,,,,,,,,,,,,,10.58,,,,,,,,,,,,,,,,26.04,,,,,,,,,,,,,27.25,,,,,,,,,,,,,,,,,,,,,,,77.29,,,,,,,
AGO,Angola,Africa,Middle Africa,education,Secondary or higher,Diet,,,,,,,,,,,,,,,,55.59,,,,,,,,,,,,,,,,,,,,,,49.41,,,,,,,,,,,,,,,,,,,,,42.13,,,,,,,,,,,,,,,15.5,,,,,,,,,,,,,,,,35.3,,,,,,,,,,,,,38.72,,,,,,,,,,,,,,,,,,,,,,,81.71,,,,,,,
AGO,Angola,Africa,Middle Africa,location,National,Diet,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,0.6,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,1.2,,,,,,,,,,,,,,,,,,,,,,1.03,0.46
AGO,Angola,Africa,Middle Africa,location,Regional,Diet,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,0.34,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,1.81,,,,,,,,,,,,,,,,,,,,,,0.46,0.45
AGO,Angola,Africa,Middle Africa,location,Rural,Diet,,,,,,,,,,,,,,,,72.81,,,,,,,,,,,,,,,,,,,,,,45.63,,,,,,,,,,,,,,,,,,,,,38.19,,,,,,,,,,,,,,,9.28,,,,,,,,,,,,,,,,22.9,,,,,,,,,,,,,26.51,,,,,,,,,,,,,,,,,,,,,,,76.32,,,,,,,
AGO,Angola,Africa,Middle Africa,location,Sub-regional,Diet,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,0.46,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,1.25,,,,,,,,,,,,,,,,,,,,,,0.64,0.29
AGO,Angola,Africa,Middle Africa,location,Target,Diet,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1
