series,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Protein (g/person/day),58.048195,60.088657,59.180855,60.29089,61.470375,64.193695,65.593185,66.412384,68.384445,70.14811,73.6257,75.0817,74.54947,74.9172,73.94671,74.40125,74.571236,72.18783,72.590866,72.894905,72.22903
Protein (g/person/day),106.1173,104.996574,105.120964,103.919685,104.82765,102.22755,103.781845,104.78244,105.17737,103.62841,102.66495,102.147224,104.136215,102.880005,99.44325,98.42561,103.18423,105.22894,108.08585,106.781654,106.307205
Protein (g/person/day),61.594387,60.20173,59.901993,62.157074,66.1138,66.33326,65.474976,67.63162,67.23678,66.777016,67.61005,66.75367,66.59212,66.74645,65.62233,66.1849,66.92666,67.115616,67.72274,68.6749,67.47502
Protein (g/person/day),44.83659,45.32722,46.049423,44.41707,45.05146,45.229908,46.410206,47.390823,48.021427,48.739132,48.745846,49.60597,48.994537,45.837463,43.84242,44.022507,46.340664,47.323685,47.229694,46.42869,44.32015
Protein (g/person/day),63.560493,65.43385,63.218166,64.4636,63.09615,62.94649,62.5979,60.726807,61.055443,60.58328,76.27547,75.30361,77.54249,77.57896,77.65173,76.82062,77.53713,78.50983,77.95433,77.39645,76.94484
Protein (g/person/day),79.10311,80.189804,81.721924,84.41236,85.61448,86.73365,88.64533,86.500114,86.3902,82.873276,85.3242,86.47322,85.25531,88.35211,87.012245,87.56183,90.65291,91.522545,93.66777,92.7819,91.58787
Protein (g/person/day),84.79138,84.39278,85.15641,85.71695,86.810776,87.82543,87.97636,90.02567,92.74797,93.46853,96.85908,97.271095,98.080284,98.68904,100.40339,102.446304,103.96398,105.09475,105.60249,106.908775,107.74753
Protein (g/person/day),64.48366,64.89379,64.6145,64.35149,63.1156,63.65969,65.42391,65.81208,66.78865,63.607933,61.725376,62.716347,64.77271,65.41167,68.452736,70.35408,70.0281,71.33431,73.145645,74.32448,72.412025
Protein (g/person/day),,,,,,,,,,,56.36478,56.131126,56.190685,57.597015,58.203484,57.948784,59.734215,60.061024,57.476357,58.573162,61.61439
Protein (g/person/day),43.039387,43.802753,44.165623,46.232285,47.524506,38.692005,42.54949,41.90985,41.862926,44.24569,41.46987,42.864506,42.954113,46.44953,47.658684,49.06445,47.698933,51.19325,51.91897,50.388527,50.698605
Protein (g/person/day),73.32227,69.83998,69.643005,70.293236,70.2175,70.81731,73.21053,74.855385,75.850044,76.71138,74.8203,73.55498,73.50806,73.017166,75.87005,75.11802,78.6086,79.66431,80.99376,84.39194,84.0915
Protein (g/person/day),48.93168,49.33959,49.155876,49.657192,50.022476,50.842716,50.58889,49.822857,50.76318,51.446148,55.571217,56.52486,55.613163,55.885334,57.03475,58.65376,58.756584,60.384354,60.455116,61.391094,62.158436
Protein (g/person/day),65.61324,71.38076,75.21351,74.799736,74.50593,77.41237,79.787384,80.86366,81.98694,83.55263,80.11341,81.21712,83.07566,84.00083,84.23645,87.35966,89.50638,90.48519,91.96069,94.46259,94.69371
Protein (g/person/day),69.872,72.31211,70.45358,77.25138,76.04179,78.13753,80.627975,81.58178,90.084656,87.044846,81.55201,84.87387,84.64679,87.73,83.2557,80.99352,87.34597,87.08993,85.86389,83.99437,84.35307
Protein (g/person/day),84.659744,84.92085,84.56,79.95134,80.34743,78.22181,75.75186,80.080734,80.666405,77.79537,93.42874,93.991516,93.2392,90.9144,89.91887,90.46187,90.06319,90.629005,89.65052,96.1915,94.60519
Protein (g/person/day),90.42487,92.846596,92.75052,92.59039,95.5837,98.85537,94.98432,95.061554,94.09196,93.152855,93.60154,91.80165,88.060326,88.99888,88.05376,88.03106,89.34918,87.8455,87.49795,89.1505,92.11129
Protein (g/person/day),,,,,,,,,,,31.070581,31.455128,30.438091,29.996721,31.074545,30.049246,29.336336,29.939054,29.403973,29.211138,28.126238
Protein (g/person/day),99.81023,107.50451,107.12646,103.1042,105.23676,115.24046,112.581085,110.34345,109.12594,103.813866,109.53182,104.46068,109.37581,111.37905,108.92666,109.776215,114.42303,115.533455,117.65953,113.37858,110.18392
Protein (g/person/day),47.196697,46.61955,46.91365,47.68301,47.239693,51.92076,55.814075,57.911667,56.853664,56.593655,57.671947,56.90179,58.83013,59.526295,61.170006,64.56258,63.133606,63.115314,62.173298,61.867348,62.533825
Protein (g/person/day),93.667816,92.887,92.17352,89.77899,88.62387,88.83528,90.83449,95.10154,94.49603,93.098175,85.89167,87.87486,86.42654,84.5329,81.22413,82.76421,84.68587,82.753685,79.866745,83.000725,79.95668
Protein (g/person/day),48.22025,47.917747,50.358467,44.633698,46.93535,52.552505,55.929573,56.94015,56.045113,57.307987,56.033264,58.95483,56.343304,56.08133,58.881596,60.827423,63.03441,63.114056,67.79622,68.48848,67.58452
Protein (g/person/day),49.507412,51.02112,54.119,56.439594,55.015144,53.811565,55.405025,55.2977,55.314285,54.720646,53.418953,54.480732,55.908913,54.733746,56.349606,57.120903,57.09919,59.028698,48.746426,48.970116,51.87562
Protein (g/person/day),57.41164,56.574394,54.779243,54.762627,55.87688,55.75827,57.64139,58.225956,60.102955,59.343216,66.69517,67.55777,66.01783,66.24257,65.99519,65.2748,63.277275,63.111076,62.33933,62.958416,62.45276
Protein (g/person/day),87.745445,87.44773,87.8465,87.61796,85.07625,87.00467,89.10497,90.55438,90.14585,89.21952,95.89576,93.521996,94.57694,93.62355,93.80927,93.385376,91.31969,93.24112,92.81616,91.61643,88.80747
Protein (g/person/day),64.46561,67.63494,71.69089,69.68481,69.94587,70.28719,71.63505,70.74122,72.70139,72.5169,71.55957,71.60909,73.068504,73.05693,76.99542,76.18132,77.292786,77.06381,77.2197,82.033226,85.88162
Protein (g/person/day),87.00313,85.31111,90.27774,88.42894,83.00993,90.95367,91.71319,95.08304,98.495255,96.34661,96.02494,96.097,94.16903,101.18396,100.332,102.41663,103.09392,101.30136,104.22728,103.99104,101.17813
Protein (g/person/day),63.437073,62.15263,67.07297,68.80613,75.88527,70.25478,63.496143,62.49743,59.5908,60.839684,51.452644,51.96205,55.190052,58.53299,58.714622,57.198742,59.096565,58.214066,59.10885,59.53565,60.756283
Protein (g/person/day),50.075584,51.78084,52.544735,53.44483,53.212696,55.844696,55.48773,55.604977,57.66823,59.016064,69.227875,68.8484,71.078285,72.59738,68.5746,71.35172,71.85767,72.288475,70.21508,71.733154,72.71128
Protein (g/person/day),71.123,72.643654,71.432655,71.72378,71.845665,72.04123,72.43978,69.31028,71.0041,67.95092,65.79383,67.66362,67.78025,65.32919,68.016266,69.778915,67.88978,67.46726,75.098076,75.006134,73.98101
