iso3,country,region,subregion,adult_fem_diabetes_track,adult_fem_obesity_track,adult_mal_diabetes_track,adult_mal_obesity_track,anaemia_track,ebf_track,lbw_track,rbp_female_track,rbp_male_track,sodium_track,under_5_overweight_track,under_5_stunting_track,under_5_wasting_track
PER,Peru,Latin America and the Caribbean,South America,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,1.0
PHL,Philippines,Asia,South-eastern Asia,0.0,0.0,0.0,0.0,0.5,1.0,-1.0,0.0,0.0,0.0,0.0,0.5,-1.0
PLW,Palau,Oceania,Micronesia,0.0,0.0,0.0,0.0,-1.0,,,0.0,0.0,,,,
PNG,Papua New Guinea,Oceania,Melanesia,0.0,0.0,0.0,0.0,-1.0,,,0.0,0.0,0.0,1.0,-1.0,
POL,Poland,Europe,Eastern Europe,0.0,0.0,0.0,0.0,,,-1.0,0.0,0.0,0.0,0.0,1.0,
PRK,Democratic People's Republic of Korea,Asia,Eastern Asia,0.0,0.0,0.0,0.0,-1.0,1.0,,0.0,0.0,,0.0,1.0,1.0
PRT,Portugal,Europe,Southern Europe,0.0,0.0,0.0,0.0,-1.0,,-1.0,1.0,0.0,0.0,1.0,1.0,
PRY,Paraguay,Latin America and the Caribbean,South America,0.0,0.0,0.0,0.0,-1.0,0.5,-1.0,0.0,0.0,0.0,0.0,1.0,1.0
PSE,State of Palestine,Asia,Western Asia,0.0,0.0,0.0,0.0,-1.0,0.5,-1.0,0.0,0.0,0.0,1.0,0.5,1.0
QAT,Qatar,Asia,Western Asia,0.0,0.0,0.0,0.0,-1.0,,0.5,1.0,0.0,0.0,1.0,1.0,
ROU,Romania,Europe,Eastern Europe,0.0,0.0,0.0,0.0,-1.0,,-1.0,0.0,0.0,0.0,1.0,0.5,
RUS,Russian Federation,Europe,Eastern Europe,0.0,0.0,0.0,0.0,-1.0,,0.5,1.0,0.0,0.0,,,
RWA,Rwanda,Africa,Eastern Africa,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0,0.5,1.0
SAU,Saudi Arabia,Asia,Western Asia,0.0,0.0,0.0,0.0,-1.0,,,1.0,0.0,0.0,0.0,1.0,
SDN,Sudan,Africa,Northern Africa,0.0,0.0,0.0,0.0,-1.0,1.0,,0.0,0.0,0.0,1.0,0.5,-1.0
SEN,Senegal,Africa,Western Africa,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,-1.0
SGP,Singapore,Asia,South-eastern Asia,1.0,0.0,0.0,0.0,-1.0,,-1.0,1.0,1.0,0.0,0.0,1.0,
SLB,Solomon Islands,Oceania,Melanesia,0.0,0.0,0.0,0.0,-1.0,1.0,,0.0,0.0,0.0,0.0,0.5,
SLE,Sierra Leone,Africa,Western Africa,0.0,0.0,0.0,0.0,-1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5
SLV,El Salvador,Latin America and the Caribbean,Central America,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0
SMR,San Marino,Europe,Southern Europe,,,,,-1.0,,1.0,,,,,,
SOM,Somalia,Africa,Eastern Africa,0.0,0.0,0.0,0.0,-1.0,1.0,,0.0,0.0,,1.0,0.5,
SRB,Serbia,Europe,Southern Europe,0.0,0.0,0.0,0.0,-1.0,0.5,1.0,0.0,0.0,0.0,1.0,0.5,1.0
SSD,South Sudan,Africa,Eastern Africa,,,,,-1.0,,,,,0.0,1.0,0.5,
STP,Sao Tome and Principe,Africa,Middle Africa,0.0,0.0,0.0,0.0,-1.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0
SUR,Suriname,Latin America and the Caribbean,South America,0.0,0.0,0.0,0.0,-1.0,0.5,-1.0,0.0,0.0,0.0,1.0,0.5,-1.0
SVK,Slovakia,Europe,Eastern Europe,0.0,0.0,0.0,0.0,-1.0,,0.5,0.0,0.0,0.0,,,
SVN,Slovenia,Europe,Southern Europe,0.0,0.0,0.0,0.0,-1.0,,-1.0,0.0,0.0,0.0,,,
SWE,Sweden,Europe,Northern Europe,1.0,0.0,1.0,0.0,-1.0,,1.0,1.0,1.0,0.0,,,
SWZ,Eswatini,Africa,Southern Africa,0.0,0.0,0.0,0.0,-1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0
SYC,Seychelles,Africa,Eastern Africa,0.0,0.0,0.0,0.0,-1.0,,-1.0,0.0,0.0,0.0,1.0,0.5,
SYR,Syrian Arab Republic,Asia,Western Asia,0.0,0.0,0.0,0.0,-1.0,-1.0,,0.0,0.0,0.0,1.0,-1.0,
TCD,Chad,Africa,Middle Africa,0.0,0.0,0.0,0.0,0.5,0.5,,0.0,0.0,0.0,0.0,0.5,0.5
TGO,Togo,Africa,Western Africa,0.0,0.0,0.0,0.0,0.5,1.0,-1.0,0.0,0.0,0.0,0.0,0.5,-1.0
THA,Thailand,Asia,South-eastern Asia,0.0,0.0,0.0,0.0,-1.0,-1.0,0.5,0.0,0.0,0.0,1.0,0.5,-1.0
TJK,Tajikistan,Asia,Central Asia,0.0,0.0,0.0,0.0,-1.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5
TKM,Turkmenistan,Asia,Central Asia,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
TLS,Timor-Leste,Asia,South-eastern Asia,0.0,0.0,0.0,0.0,-1.0,0.5,,0.0,0.0,0.0,1.0,0.5,0.5
TON,Tonga,Oceania,Polynesia,0.0,0.0,0.0,0.0,-1.0,-1.0,,0.0,0.0,0.0,1.0,1.0,1.0
TTO,Trinidad and Tobago,Latin America and the Caribbean,Caribbean,0.0,0.0,0.0,0.0,-1.0,,-1.0,0.0,0.0,0.0,0.0,-1.0,
TUN,Tunisia,Africa,Northern Africa,0.0,0.0,0.0,0.0,-1.0,0.5,-1.0,0.0,0.0,0.0,0.0,0.5,1.0
TUR,Türkiye,Asia,Western Asia,0.0,0.0,0.0,0.0,,-1.0,0.5,1.0,0.0,0.0,,,1.0
TUV,Tuvalu,Oceania,Polynesia,0.0,0.0,0.0,0.0,-1.0,,,0.0,0.0,,1.0,-1.0,
TZA,United Republic of Tanzania,Africa,Eastern Africa,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0
UGA,Uganda,Africa,Eastern Africa,0.0,0.0,0.0,0.0,-1.0,0.5,,0.0,0.0,0.0,1.0,0.5,1.0
UKR,Ukraine,Europe,Eastern Europe,0.0,0.0,0.0,0.0,-1.0,,-1.0,0.0,0.0,0.0,1.0,1.0,
URY,Uruguay,Latin America and the Caribbean,South America,0.0,0.0,0.0,0.0,-1.0,,0.5,1.0,1.0,0.0,1.0,1.0,1.0
USA,United States of America,North America,Northern America,0.0,0.0,0.0,0.0,-1.0,0.5,-1.0,0.0,0.0,0.0,1.0,1.0,1.0
UZB,Uzbekistan,Asia,Central Asia,0.0,0.0,0.0,0.0,0.5,,-1.0,0.0,0.0,0.0,1.0,1.0,1.0
VCT,Saint Vincent and the Grenadines,Latin America and the Caribbean,Caribbean,0.0,0.0,0.0,0.0,-1.0,,,0.0,0.0,0.0,,,
VEN,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,South America,0.0,0.0,0.0,0.0,-1.0,,-1.0,1.0,0.0,0.0,1.0,0.5,
VNM,Viet Nam,Asia,South-eastern Asia,0.0,0.0,0.0,0.0,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5
VUT,Vanuatu,Oceania,Melanesia,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,1.0
WSM,Samoa,Oceania,Polynesia,0.0,0.0,0.0,0.0,-1.0,1.0,,0.0,0.0,0.0,1.0,-1.0,1.0
YEM,Yemen,Asia,Western Asia,0.0,0.0,0.0,0.0,-1.0,,,0.0,0.0,0.0,1.0,0.5,-1.0
ZAF,South Africa,Africa,Southern Africa,0.0,0.0,0.0,0.0,-1.0,,-1.0,0.0,0.0,0.0,1.0,-1.0,1.0
ZMB,Zambia,Africa,Eastern Africa,0.0,0.0,0.0,0.0,-1.0,-1.0,0.5,0.0,0.0,0.0,1.0,0.5,1.0
ZWE,Zimbabwe,Africa,Eastern Africa,0.0,0.0,0.0,0.0,0.5,0.5,-1.0,0.0,0.0,0.0,1.0,1.0,1.0
