series,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Fat (g/person/day),48.338314,44.660206,50.153984,52.076588,52.154133,53.51575,54.238094,53.584026,55.819992,55.89163,60.916443,59.511242,60.12581,59.78272,58.302967,57.37269,57.98191,56.074474,55.064075,55.712467,54.592636
Fat (g/person/day),147.5858,145.46597,142.1655,147.99138,147.40076,144.47612,143.53831,145.45477,146.50494,145.98805,145.53668,151.10263,142.63994,143.66962,158.23082,159.8181,158.62485,158.30565,159.41087,157.84941,161.09445
Fat (g/person/day),65.635735,64.6733,63.849552,63.41189,67.13663,65.701515,67.84201,68.849434,67.62642,67.32367,64.74409,63.622673,63.338184,62.706955,61.571926,61.91583,61.14499,62.325035,63.408527,60.88869,68.61058
Fat (g/person/day),58.075623,60.962948,62.351204,61.69883,63.768494,61.57704,61.83646,66.69819,68.80011,66.72073,63.262276,63.856476,61.49409,60.59177,52.98672,49.11278,52.70695,55.0592,55.518017,53.460857,51.172012
Fat (g/person/day),61.278988,63.13191,63.583122,60.363117,59.95944,58.172207,55.513798,49.875965,51.424526,48.417168,64.19759,64.51585,64.912766,66.23619,65.102165,65.55399,65.07332,65.987274,65.605034,66.272,64.964455
Fat (g/person/day),83.64313,84.612335,85.28031,86.44979,85.321754,81.69346,87.59448,89.12746,87.400375,84.62966,80.60794,82.60967,85.03457,88.56285,91.48033,91.20185,91.106026,91.08012,91.18412,95.37991,99.50164
Fat (g/person/day),75.60422,75.50826,77.23841,79.09612,80.10115,82.138084,85.148506,87.40042,88.95245,91.93477,94.544205,93.28491,94.1907,95.41188,98.07971,99.46851,101.73481,101.75952,103.40622,102.77441,103.98995
Fat (g/person/day),74.50518,74.35195,74.53796,74.18268,73.27577,75.258354,77.487816,78.02919,79.56722,76.796715,78.62745,78.39796,81.609985,81.681625,85.03515,86.923996,86.61716,92.00023,91.13475,88.557465,91.21438
Fat (g/person/day),,,,,,,,,,,62.791145,63.31633,63.942947,64.94915,67.581894,65.56747,67.03032,66.986206,64.54971,62.52107,65.44372
Fat (g/person/day),53.253136,55.556393,56.902676,54.0686,51.953766,44.132614,49.406757,46.85998,42.564274,42.171818,40.49717,41.033344,39.566772,40.417126,38.855,41.873062,49.25465,46.806084,43.861744,51.962868,55.024292
Fat (g/person/day),77.0753,76.10717,78.04426,77.8115,81.93871,82.388306,86.50239,87.94276,88.2551,88.23624,86.98998,89.06785,86.58254,89.39606,90.43037,93.37016,96.450325,105.11882,102.60333,103.18431,104.96273
Fat (g/person/day),50.9673,52.157906,51.899853,52.94278,51.261253,52.071377,49.35035,49.51492,44.413277,47.371117,48.386623,47.406376,50.013668,51.05865,47.27453,47.78721,46.55662,46.71428,46.413166,50.769115,50.893574
Fat (g/person/day),79.61348,81.336975,87.23898,87.534966,100.27207,106.453156,113.74832,118.915405,121.7896,112.33,103.6569,104.5966,113.38261,117.9317,107.48368,111.24653,114.787796,114.04188,115.57519,121.686226,120.256004
Fat (g/person/day),53.274017,51.03381,53.741055,50.751133,58.93941,62.283096,62.683887,62.407303,58.21995,62.662285,65.25553,67.00203,66.90919,68.45591,66.82208,66.11308,70.99608,72.16652,71.96193,75.51181,81.707016
Fat (g/person/day),109.25314,110.77758,106.53063,105.91009,106.11925,110.66399,116.65131,111.152855,113.57577,115.71104,115.547005,112.392914,110.92333,109.43255,109.21027,107.955795,112.195625,115.38062,111.86317,121.07331,120.69307
Fat (g/person/day),111.66655,114.14811,115.24728,119.83282,116.14693,127.43813,137.3015,134.3322,138.11324,137.07294,138.89456,134.7051,138.92091,139.49333,129.38182,125.947174,138.48215,142.32707,147.81099,152.79755,154.88486
Fat (g/person/day),,,,,,,,,,,24.127108,24.580702,24.517683,24.60547,26.029661,26.230083,24.392118,24.752836,24.3746,23.805243,21.856672
Fat (g/person/day),133.92322,135.39453,130.35449,129.788,132.94168,136.99693,130.49556,130.15099,127.063896,131.25166,126.844765,130.08272,129.36159,131.7045,131.7304,131.67935,133.78708,133.08728,136.57123,145.33571,143.7402
Fat (g/person/day),47.11875,44.749783,45.28261,49.012478,51.98519,59.458252,60.447414,62.880005,63.642708,57.852505,49.666775,52.47144,52.417755,53.992554,58.634132,59.29438,56.224678,57.14409,58.75349,52.84786,57.023598
Fat (g/person/day),88.1489,87.81446,87.66275,84.65606,83.18439,80.43138,78.72253,82.05527,84.08248,78.98176,97.350784,85.24172,84.953125,84.55353,82.892,86.81979,86.48877,82.27983,78.86053,82.98062,84.10546
Fat (g/person/day),79.481255,77.1698,76.76186,75.32508,79.65774,79.40475,81.770706,84.929596,86.64774,86.48445,90.853226,88.43225,94.51933,97.17533,96.310356,96.43854,100.902466,101.632195,98.93036,99.13065,99.21206
Fat (g/person/day),31.316454,32.655075,40.9648,42.11324,41.33802,40.5873,40.67607,40.093628,41.56373,41.160313,47.76046,53.790726,54.614265,52.66907,49.780277,50.49531,50.668564,51.82008,54.815865,58.51368,59.137196
Fat (g/person/day),78.34545,77.12067,83.18071,81.749565,84.8349,85.963585,86.37199,89.20104,94.078545,89.79052,96.71801,99.82103,99.05673,101.456726,103.10125,99.79908,95.166695,97.80307,97.74091,94.38253,91.211525
Fat (g/person/day),53.125427,51.97974,53.40751,54.01858,50.51943,51.98495,52.115955,55.533398,55.580334,53.42755,59.861343,58.108913,57.844906,56.208214,54.599895,54.969856,54.386703,54.77359,56.19443,57.38027,59.535095
Fat (g/person/day),57.73502,61.977875,61.466465,60.52154,58.388462,61.76784,63.319717,64.0247,59.247936,62.19359,58.613106,60.66938,58.80309,61.782337,59.36606,60.20405,60.158417,65.91199,63.981453,66.15682,69.3691
Fat (g/person/day),84.626854,87.198006,96.8162,99.27253,95.640816,89.770164,93.02562,91.5473,91.79391,93.31015,89.71303,86.63158,91.582504,88.47005,106.75917,120.11124,119.51728,119.54142,125.230835,140.10321,133.38748
Fat (g/person/day),47.34033,43.94349,49.15664,50.063244,61.717144,57.729534,50.238823,51.58734,47.075462,47.243504,45.15904,45.13464,46.579044,46.344288,57.926834,55.553368,50.857563,50.92509,54.135796,53.15508,56.157555
Fat (g/person/day),16.872437,17.526125,19.329062,19.972939,20.173613,21.620157,21.043682,22.132114,25.670586,23.244606,26.487103,26.732382,26.880156,27.559298,27.850748,32.472855,27.963785,28.508268,29.957386,27.705261,28.723507
Fat (g/person/day),93.8098,94.32342,90.36615,89.771324,91.39699,89.9294,89.84183,89.194916,88.01157,89.511086,70.84832,72.34744,72.00524,68.74213,71.95101,66.2355,67.94674,72.114586,75.87634,78.37806,75.2861
Fat (g/person/day),122.93506,126.49983,127.46559,125.980225,126.06655,127.5283,129.14293,131.74231,131.80505,131.21736,133.3276,137.72667,141.30962,141.37329,142.04866,140.7196,140.85129,139.65233,140.91225,131.7229,140.00432
Fat (g/person/day),171.45544,173.06221,173.06606,170.66495,164.17755,165.4169,165.33514,162.71593,169.5856,167.22316,164.72879,162.59297,159.09384,160.76003,155.16861,154.57126,155.70302,155.21188,156.0874,155.15901,154.27536
Fat (g/person/day),107.78094,111.06331,113.5364,112.852394,118.04997,114.68317,114.05539,115.547035,114.96162,118.23484,117.88375,118.576675,115.62858,117.969215,119.579414,119.76425,117.15641,114.311844,114.40768,113.86661,113.681404
Fat (g/person/day),54.85954,54.585976,52.857838,53.11141,52.107655,53.794125,55.549873,54.181713,47.641735,46.767464,50.064373,52.170597,52.317703,52.784058,53.535515,54.228374,51.10933,52.130943,52.839348,52.958614,52.901043
Fat (g/person/day),64.47048,70.233025,64.816376,68.47221,71.3511,67.99101,63.192738,62.16014,59.963417,60.58222,66.45252,72.75601,71.33745,70.46781,60.20158,57.984127,57.554916,57.38649,55.79431,54.058823,50.258
Fat (g/person/day),49.69595,67.81553,61.252956,64.84217,67.78961,75.02425,73.62031,75.85371,70.61344,79.1225,68.063225,68.50313,68.88067,71.48266,71.76295,75.47602,74.55673,75.39391,79.97767,84.147026,81.00344
Fat (g/person/day),146.23259,140.60968,142.8668,143.36705,142.98352,143.44957,145.1615,150.30743,147.9471,146.18845,147.04686,148.23813,146.5198,143.6571,141.50972,143.21878,144.86778,146.2595,151.74495,165.25995,165.71986
Fat (g/person/day),37.859627,36.339912,42.615772,40.00526,39.833553,42.270016,45.599518,41.43518,47.481438,45.61638,47.409523,43.130444,43.76744,41.25723,39.68266,38.844563,38.037937,38.359367,39.572792,40.017033,42.31197
Fat (g/person/day),140.8846,141.41008,145.9651,145.93176,147.43991,148.27057,147.51138,148.97034,152.57912,154.45143,153.85547,155.8719,151.26408,149.8449,149.88136,146.19882,145.63142,147.2531,151.88376,160.14217,154.32951
Fat (g/person/day),77.36248,83.48418,79.058815,78.926895,82.274734,79.97661,83.18424,81.79273,80.53975,79.014656,71.64372,70.64255,72.91469,69.99675,73.759254,72.83476,74.51426,72.58405,74.896965,82.63783,86.09683
Fat (g/person/day),42.368614,45.747017,49.735584,51.37844,51.94539,54.982037,56.35003,57.184345,57.493725,55.24214,62.4609,60.30611,60.07131,60.906933,62.42031,61.468945,69.096664,62.023064,62.245693,62.14957,64.025764
Fat (g/person/day),55.747143,53.133736,54.838387,58.468704,60.795406,59.927845,61.604546,60.784477,60.214294,60.251648,62.94379,68.40292,67.27664,69.247406,66.531944,67.72077,64.460175,67.70065,65.51653,70.71152,68.51252
Fat (g/person/day),55.66282,53.358192,55.675648,54.78468,56.444977,57.809067,57.96201,61.771355,60.509304,61.02617,61.163876,61.265926,60.724533,61.15363,61.28135,61.42362,59.59252,60.377914,59.842876,56.824512,54.866287
Fat (g/person/day),58.064735,59.244133,57.26883,54.158165,57.42993,54.782646,56.388256,57.78094,53.516247,54.276466,54.767727,56.463028,63.375877,60.898808,53.346333,55.61772,57.159443,60.604607,58.53102,67.85383,67.97895
Fat (g/person/day),44.202194,42.505215,41.54046,37.322346,39.122044,32.970818,37.023876,37.68908,42.144382,43.171883,48.406307,53.593025,50.826336,51.218403,52.65007,47.912354,48.271782,47.856186,48.06784,41.366974,41.367287
Fat (g/person/day),62.559284,65.4199,65.23843,61.136517,61.049713,62.472645,64.92586,66.60368,66.290245,64.15639,81.19248,82.48372,82.829025,82.94613,81.898506,81.22224,82.69701,82.70464,83.31002,87.373055,87.550514
Fat (g/person/day),131.99464,136.09583,136.05307,138.38145,138.65808,135.46686,138.46623,132.62912,132.91304,134.10347,135.76616,133.7853,134.21721,131.08707,124.74298,123.73774,126.371864,128.3579,132.38254,130.38844,130.65073
Fat (g/person/day),134.80937,129.6194,136.2259,129.49568,134.04134,138.69865,139.36572,139.82558,139.43217,137.02625,137.0956,136.57413,133.42043,138.47968,137.2097,146.7656,148.66333,151.06491,156.47194,147.43375,149.88022
Fat (g/person/day),129.6037,127.47119,137.50719,138.94295,144.95465,144.59198,147.53738,147.92342,145.57103,144.23106,145.9745,148.902,151.20467,153.75366,159.39406,163.59056,162.253,163.58798,159.31906,165.5086,162.82051
